symbol,k_vol,k_entry,k_tp,k_sl,trades,win_rate,e_pnl_gross,e_pnl_net,sharpe,profit_factor
BTC/USDT,5.0,1.5,1.5,0.5,554,0.14259927797833935,-0.0003200346956123309,-0.002220034695612331,-246.72411422484402,0.08114953253416085
BTC/USDT,5.0,1.5,1.5,1.0,548,0.24635036496350365,-0.00047763838098123686,-0.0023776383809812366,-169.95682317598954,0.13640288717599364
BTC/USDT,5.0,1.5,1.5,1.5,541,0.33086876155268025,-0.0004687143449100231,-0.002368714344910023,-133.42913911314264,0.17667208025106712
BTC/USDT,5.0,1.5,2.0,0.5,551,0.1397459165154265,-0.0003126624998583498,-0.00221266249985835,-224.28937318614805,0.11130723104681489
BTC/USDT,5.0,1.5,2.0,1.0,545,0.24220183486238533,-0.00042512029723058386,-0.0023251202972305834,-149.66830518098445,0.18868216244443534
BTC/USDT,5.0,1.5,2.0,1.5,536,0.333955223880597,-0.0003733215735735129,-0.0022733215735735125,-115.25709603965527,0.24859444599746294
BTC/USDT,5.0,2.0,1.0,0.5,460,0.08478260869565217,-0.0004161128524911525,-0.0023161128524911527,-334.13947757644763,0.025769686865363083
BTC/USDT,5.0,2.0,1.0,1.0,459,0.15904139433551198,-0.000590747424176339,-0.002490747424176339,-221.2961071610316,0.05132107117881014
BTC/USDT,5.0,2.0,1.0,1.5,456,0.2236842105263158,-0.0005572309496406923,-0.002457230949640692,-169.17825805651256,0.06759101044230728
BTC/USDT,5.0,2.0,1.5,0.5,459,0.1437908496732026,-0.00027836837893852534,-0.002178368378938525,-247.23536441495568,0.07895000795643815
BTC/USDT,5.0,2.0,1.5,1.0,455,0.24615384615384617,-0.00041690226600589247,-0.0023169022660058927,-171.02114453439293,0.1333138904012296
BTC/USDT,5.0,2.0,1.5,1.5,450,0.3333333333333333,-0.0003791658357885705,-0.0022791658357885704,-133.3808224843119,0.17455581499841294
BTC/USDT,5.0,2.0,2.0,0.5,456,0.14473684210526316,-0.0002750833788659458,-0.002175083378865946,-226.76351273393453,0.10872311754543967
BTC/USDT,5.0,2.0,2.0,1.0,452,0.24557522123893805,-0.00037312956961869746,-0.0022731295696186977,-151.67613446041298,0.18408352175034653
BTC/USDT,5.0,2.0,2.0,1.5,446,0.3452914798206278,-0.00026967448742492493,-0.0021696744874249245,-114.31243265181621,0.24958003760406652
BTC/USDT,5.0,2.5,1.0,0.5,391,0.07161125319693094,-0.0004702515100307246,-0.0023702515100307246,-359.6553271755372,0.020875796111724527
BTC/USDT,5.0,2.5,1.0,1.0,389,0.13624678663239073,-0.0006984545708727219,-0.002598454570872722,-237.8333827064786,0.04214307202140908
BTC/USDT,5.0,2.5,1.0,1.5,388,0.20618556701030927,-0.0006560891428638554,-0.002556089142863855,-175.81726469244285,0.059126172721882635
BTC/USDT,5.0,2.5,1.5,0.5,391,0.12276214833759591,-0.00034362998301651815,-0.002243629983016518,-268.6892075675817,0.06512429941802084
BTC/USDT,5.0,2.5,1.5,1.0,385,0.21818181818181817,-0.0005245949074652177,-0.002424594907465218,-184.85810469635675,0.11459560093305013
BTC/USDT,5.0,2.5,1.5,1.5,382,0.3219895287958115,-0.00044669444413154743,-0.002346694444131548,-137.92191596485006,0.16189752576048724
BTC/USDT,5.0,2.5,2.0,0.5,390,0.13333333333333333,-0.00032012939837504107,-0.002220129398375041,-241.76134046188318,0.09596641181414545
BTC/USDT,5.0,2.5,2.0,1.0,384,0.22916666666666666,-0.00047457514026422355,-0.0023745751402642237,-163.8488230898577,0.1626984655963848
BTC/USDT,5.0,2.5,2.0,1.5,381,0.34908136482939633,-0.0002876583259759544,-0.002187658325975954,-115.87286726183355,0.24269580671098662
BTC/USDT,7.0,1.5,1.0,0.5,295,0.09152542372881356,-0.00044874092714834284,-0.0023487409271483427,-325.74813354971405,0.03193807989416915
BTC/USDT,7.0,1.5,1.0,1.0,295,0.18305084745762712,-0.0005994593908842999,-0.0024994593908843,-210.6030772738652,0.06652037091010114
BTC/USDT,7.0,1.5,1.0,1.5,291,0.23024054982817868,-0.0007051105146517941,-0.0026051105146517937,-169.65653394160054,0.07338722652091688
BTC/USDT,7.0,1.5,1.5,0.5,295,0.13220338983050847,-0.0003428955760119922,-0.002242895576011992,-252.80669749904771,0.07917216159279246
